Frequency	Input	License	Tone	Description	Category	Tag	Updated
451.725000				Site 002 Unconfirmed LCN	Industrial Electronics (Blakeslee)	TRS	2010-05-30
451.725000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
451.750000				Site 002 Unconfirmed LCN	Industrial Electronics (Blakeslee)	TRS	2010-05-30
451.750000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
451.800000		WQQU922	506 DPL	Wawa Stores Inc. (Blakeslee Corners)	Retail Operations	Business	2017-07-07
451.825000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
451.900000			445 DPL	Grandstand Security	Pocono Raceway	Business	2017-06-12
451.925000	456.92500		047 DPL	Ch. 2 - Security	Pocono Raceway	Business	2017-06-12
451.950000	456.95000	WQUQ757		Maintenance	Kalahari Resorts	Business	2016-10-26
451.950000	456.95000	WQUQ757		Housekeeping	Kalahari Resorts	Business	2016-10-26
451.987500	456.98750	WQCK343	110.9 PL	High School South Security	East Stroudsburg School District	Security	2023-06-03
452.012500	457.01250	WQCW520		Crossing Premium Outlets - Security	Retail Operations	Business	2017-08-06
452.012500	457.01250	WQCW520		Crossing Premium Outlets - Operations	Retail Operations	Business	2017-08-06
452.012500	457.01250	WQUQ757		Operations	Kalahari Resorts	Business	2016-10-26
452.050000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.075000	457.07500		023 DPL	Ch. 4 - Security/Traffic/Gates	Pocono Raceway	Business	2017-06-12
452.100000				Site 002 Unconfirmed LCN	Industrial Electronics (Blakeslee)	TRS	2010-05-30
452.100000				Site 023 Stroudsburg	Industrial Electronics (264)	TRS	2017-05-11
452.100000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
452.125000		WQEG209	664 DPL	West End Fire Co - Private Channel	Chestnuthill Township	Fire-Talk	2018-03-07
452.150000				Site 012 Tannersville	Industrial Electronics (264)	TRS	2017-05-12
452.200000	457.20000	WPTK331	624 DPL	Security	Stroudsburg Area School District	Security	2013-01-13
452.250000				Site 001 Confirmed LCN	Industrial Electronics (Blakeslee)	TRS	2012-04-16
452.250000				Site 023 Stroudsburg	Industrial Electronics (264)	TRS	2017-05-11
452.250000				Site 029 Blakeslee	Industrial Electronics (264)	TRS	2017-04-20
452.262500				Site 001 Stroudsburg	Industrial Electronics (Tannersville)	TRS	2014-12-03
