Frequency	Input	License	Tone	Description	Category	Tag	Updated
769.443750				Site 019 Delaware Water Gap	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
769.718750				Site 019 Delaware Water Gap	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
769.956250				Site 019 Delaware Water Gap	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
770.181250				Site 035 Delaware Water Gap Bridge	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
773.093750				Site 019 Delaware Water Gap	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
773.556250				Site 035 Delaware Water Gap Bridge	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
773.818750				Site 019 Delaware Water Gap	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
773.843750				Site 035 Delaware Water Gap Bridge	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
774.043750				Site 019 Delaware Water Gap	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
774.068750				Site 035 Delaware Water Gap Bridge	New Jersey Interoperability Communications System (NJICS)	TRS	2017-12-28
854.050000				Site 012 Wind Gap (NORH60)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2024-09-16
854.187500				Site 111 Mount Pocono 800 (MONR03)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2021-07-15
854.537500				Site 111 Mount Pocono 800 (MONR03)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2021-07-15
856.762500				Site 111 Mount Pocono 800 (MONR03)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2021-07-15
857.275000				Site 012 Wind Gap (NORH60)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2024-09-16
858.050000				Site 012 Wind Gap (NORH60)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2024-09-16
860.112500	815.11250	WPHJ304	165 DPL	Fernwood Resort Safety/Security Ops	Miscellaneous	Security	2015-04-16
902.225000	927.22500	N3GRQ	131.8 PL	N3GRQ	33cm	Ham	2023-06-28
902.225000	927.22500	N3GRQ	293 NAC	N3GRQ	33cm	Ham	2023-06-28
